name_ko,name_en,type,lon,lat,row,col,hex_id,land_tile,raw_row,raw_col,snapped,terrain_role,land_hex_id,port_row,port_col,port_hex_id,port_land_tile,port_touches_water,display_row,display_col
서울,Seoul,city,126.978,37.5665,68,31,068-31,True,68,31,False,한강 하류·수도권 분지,068-31,,,,,,68,31
평양,Pyongyang,city,125.7625,39.0392,51,21,051-21,True,51,21,False,대동강 중하류·서부 평야,051-21,,,,,,51,21
부산,Busan,port,129.0756,35.1796,96,49,096-49,True,96,49,False,낙동강 하구·동남 해안,096-49,96,50,096-50,True,True,96,50
인천,Incheon,port,126.7052,37.4563,70,29,070-29,True,70,29,False,경기만·한강 하구,070-29,70,29,070-29,True,True,70,29
대구,Daegu,city,128.6014,35.8714,88,45,088-45,True,88,45,False,낙동강 중류 분지,088-45,,,,,,88,45
대전,Daejeon,city,127.3845,36.3504,82,35,082-35,True,82,35,False,금강 상류권 내륙 분지,082-35,,,,,,82,35
광주,Gwangju,city,126.8526,35.1595,96,30,096-30,True,96,30,False,영산강 상류·호남 평야권,096-30,,,,,,96,30
울산,Ulsan,port,129.3114,35.5384,92,51,092-51,True,92,51,False,태화강 하구·동남 해안,092-51,91,52,091-52,True,True,91,52
목포,Mokpo,port,126.3922,34.8118,100,26,100-26,True,100,26,False,영산강 하구·다도해 관문,100-26,100,26,100-26,True,True,100,26
여수,Yeosu,port,127.6622,34.7604,101,36,101-36,True,101,36,False,여수반도·남해 리아스 해안,101-36,102,36,102-36,True,True,102,36
군산,Gunsan,port,126.7369,35.9676,87,28,087-28,True,87,28,False,금강 하구·서해 연안,087-28,87,28,087-28,True,True,87,28
포항,Pohang,port,129.3435,36.019,86,51,086-51,True,86,51,False,형산강 하구·동해안,086-51,85,52,085-52,True,True,85,52
동해,Donghae,port,129.1169,37.5247,69,49,069-49,True,69,49,False,태백산맥 동측·동해안,069-49,69,49,069-49,True,True,69,49
속초,Sokcho,port,128.5911,38.207,61,44,061-44,True,61,44,False,설악산 동측·동해안,061-44,61,45,061-45,True,True,61,45
원산,Wonsan,port,127.446,39.153,50,35,050-35,True,50,35,False,원산만·동해안,050-35,49,35,049-35,True,True,49,35
함흥,Hamhung,city,127.5364,39.9183,41,36,041-36,True,41,36,False,성천강 하구·함흥평야,041-36,,,,,,41,36
청진,Chongjin,port,129.775,41.7956,20,54,020-54,True,20,54,False,함경산맥 동측·동해안,020-54,20,55,020-55,True,True,20,55
신의주,Sinuiju,city,124.398,40.1006,39,11,039-11,True,39,10,True,압록강 하구·서북 국경 평야,039-11,,,,,,39,11
남포,Nampo,port,125.399,38.7375,55,18,055-18,True,55,18,False,대동강 하구·서해 항만,055-18,55,17,055-17,True,True,55,17
개성,Kaesong,city,126.554,37.9708,64,28,064-28,True,64,28,False,예성강·임진강 접경 구릉,064-28,,,,,,64,28
제주,Jeju,port,126.5312,33.4996,115,26,115-26,True,115,26,False,제주도 북부 해안,115-26,115,26,115-26,True,True,115,26
서귀포,Seogwipo,port,126.56,33.254,118,27,118-27,True,118,27,False,제주 남부 해안·한라산 남사면,118-27,118,27,118-27,True,True,118,27
독도,Dokdo,port,131.8696,37.2426,71,71,071-71,True,71,71,False,동해 외해 화산섬,071-71,69,64,069-64,True,True,69,64
