route_id,kind,label,sequence,row,col,hex_id
경부고속철도,ktx,서울/행신–부산,0,68,29,068-29
경부고속철도,ktx,서울/행신–부산,1,68,30,068-30
경부고속철도,ktx,서울/행신–부산,2,68,31,068-31
경부고속철도,ktx,서울/행신–부산,3,69,30,069-30
경부고속철도,ktx,서울/행신–부산,4,70,30,070-30
경부고속철도,ktx,서울/행신–부산,5,71,30,071-30
경부고속철도,ktx,서울/행신–부산,6,72,30,072-30
경부고속철도,ktx,서울/행신–부산,7,72,31,072-31
경부고속철도,ktx,서울/행신–부산,8,73,30,073-30
경부고속철도,ktx,서울/행신–부산,9,74,31,074-31
경부고속철도,ktx,서울/행신–부산,10,75,31,075-31
경부고속철도,ktx,서울/행신–부산,11,76,31,076-31
경부고속철도,ktx,서울/행신–부산,12,77,31,077-31
경부고속철도,ktx,서울/행신–부산,13,78,32,078-32
경부고속철도,ktx,서울/행신–부산,14,78,33,078-33
경부고속철도,ktx,서울/행신–부산,15,79,33,079-33
경부고속철도,ktx,서울/행신–부산,16,80,34,080-34
경부고속철도,ktx,서울/행신–부산,17,81,33,081-33
경부고속철도,ktx,서울/행신–부산,18,81,34,081-34
경부고속철도,ktx,서울/행신–부산,19,82,34,082-34
경부고속철도,ktx,서울/행신–부산,20,83,35,083-35
경부고속철도,ktx,서울/행신–부산,21,83,36,083-36
경부고속철도,ktx,서울/행신–부산,22,84,37,084-37
경부고속철도,ktx,서울/행신–부산,23,84,38,084-38
경부고속철도,ktx,서울/행신–부산,24,84,39,084-39
경부고속철도,ktx,서울/행신–부산,25,85,39,085-39
경부고속철도,ktx,서울/행신–부산,26,85,40,085-40
경부고속철도,ktx,서울/행신–부산,27,86,41,086-41
경부고속철도,ktx,서울/행신–부산,28,86,42,086-42
경부고속철도,ktx,서울/행신–부산,29,86,43,086-43
경부고속철도,ktx,서울/행신–부산,30,87,42,087-42
경부고속철도,ktx,서울/행신–부산,31,87,43,087-43
경부고속철도,ktx,서울/행신–부산,32,87,44,087-44
경부고속철도,ktx,서울/행신–부산,33,88,45,088-45
경부고속철도,ktx,서울/행신–부산,34,88,46,088-46
경부고속철도,ktx,서울/행신–부산,35,88,47,088-47
경부고속철도,ktx,서울/행신–부산,36,88,48,088-48
경부고속철도,ktx,서울/행신–부산,37,88,49,088-49
경부고속철도,ktx,서울/행신–부산,38,88,50,088-50
경부고속철도,ktx,서울/행신–부산,39,89,49,089-49
경부고속철도,ktx,서울/행신–부산,40,89,50,089-50
경부고속철도,ktx,서울/행신–부산,41,90,50,090-50
경부고속철도,ktx,서울/행신–부산,42,90,51,090-51
경부고속철도,ktx,서울/행신–부산,43,91,50,091-50
경부고속철도,ktx,서울/행신–부산,44,91,51,091-51
경부고속철도,ktx,서울/행신–부산,45,92,51,092-51
경부고속철도,ktx,서울/행신–부산,46,93,50,093-50
경부고속철도,ktx,서울/행신–부산,47,94,50,094-50
경부고속철도,ktx,서울/행신–부산,48,95,49,095-49
경부고속철도,ktx,서울/행신–부산,49,96,49,096-49
수서고속철도 SRT,srt,수서–부산,0,69,31,069-31
수서고속철도 SRT,srt,수서–부산,1,70,32,070-32
수서고속철도 SRT,srt,수서–부산,2,71,31,071-31
수서고속철도 SRT,srt,수서–부산,3,72,32,072-32
수서고속철도 SRT,srt,수서–부산,4,73,31,073-31
수서고속철도 SRT,srt,수서–부산,5,74,32,074-32
수서고속철도 SRT,srt,수서–부산,6,74,31,074-31
수서고속철도 SRT,srt,수서–부산,7,75,31,075-31
수서고속철도 SRT,srt,수서–부산,8,76,32,076-32
수서고속철도 SRT,srt,수서–부산,9,77,31,077-31
수서고속철도 SRT,srt,수서–부산,10,78,32,078-32
수서고속철도 SRT,srt,수서–부산,11,78,33,078-33
수서고속철도 SRT,srt,수서–부산,12,79,33,079-33
수서고속철도 SRT,srt,수서–부산,13,80,34,080-34
수서고속철도 SRT,srt,수서–부산,14,81,33,081-33
수서고속철도 SRT,srt,수서–부산,15,81,34,081-34
수서고속철도 SRT,srt,수서–부산,16,82,34,082-34
수서고속철도 SRT,srt,수서–부산,17,83,35,083-35
수서고속철도 SRT,srt,수서–부산,18,83,36,083-36
수서고속철도 SRT,srt,수서–부산,19,84,37,084-37
수서고속철도 SRT,srt,수서–부산,20,84,38,084-38
수서고속철도 SRT,srt,수서–부산,21,84,39,084-39
수서고속철도 SRT,srt,수서–부산,22,85,39,085-39
수서고속철도 SRT,srt,수서–부산,23,85,40,085-40
수서고속철도 SRT,srt,수서–부산,24,86,41,086-41
수서고속철도 SRT,srt,수서–부산,25,86,42,086-42
수서고속철도 SRT,srt,수서–부산,26,86,43,086-43
수서고속철도 SRT,srt,수서–부산,27,87,42,087-42
수서고속철도 SRT,srt,수서–부산,28,87,43,087-43
수서고속철도 SRT,srt,수서–부산,29,87,44,087-44
수서고속철도 SRT,srt,수서–부산,30,88,45,088-45
수서고속철도 SRT,srt,수서–부산,31,88,46,088-46
수서고속철도 SRT,srt,수서–부산,32,88,47,088-47
수서고속철도 SRT,srt,수서–부산,33,88,48,088-48
수서고속철도 SRT,srt,수서–부산,34,88,49,088-49
수서고속철도 SRT,srt,수서–부산,35,88,50,088-50
수서고속철도 SRT,srt,수서–부산,36,89,49,089-49
수서고속철도 SRT,srt,수서–부산,37,89,50,089-50
수서고속철도 SRT,srt,수서–부산,38,90,50,090-50
수서고속철도 SRT,srt,수서–부산,39,90,51,090-51
수서고속철도 SRT,srt,수서–부산,40,91,50,091-50
수서고속철도 SRT,srt,수서–부산,41,91,51,091-51
수서고속철도 SRT,srt,수서–부산,42,92,51,092-51
수서고속철도 SRT,srt,수서–부산,43,93,50,093-50
수서고속철도 SRT,srt,수서–부산,44,94,50,094-50
수서고속철도 SRT,srt,수서–부산,45,95,49,095-49
수서고속철도 SRT,srt,수서–부산,46,96,49,096-49
경부고속철도 포항지선,ktx_branch,동대구–포항,0,88,45,088-45
경부고속철도 포항지선,ktx_branch,동대구–포항,1,88,46,088-46
경부고속철도 포항지선,ktx_branch,동대구–포항,2,88,47,088-47
경부고속철도 포항지선,ktx_branch,동대구–포항,3,88,48,088-48
경부고속철도 포항지선,ktx_branch,동대구–포항,4,88,49,088-49
경부고속철도 포항지선,ktx_branch,동대구–포항,5,88,50,088-50
