station,lon,lat,row,col,hex_id
행신,126.788,37.612,68,29,068-29
서울,126.978,37.566,68,31,068-31
청량리,127.047,37.58,68,31,068-31
용산,126.965,37.529,69,30,069-30
수서,127.104,37.487,69,31,069-31
원주,127.944,37.342,71,38,071-38
평창,128.39,37.37,71,42,071-42
강릉,128.896,37.751,66,47,066-47
광명,126.888,37.416,70,30,070-30
동탄,127.104,37.2,73,31,073-31
평택지제,127.061,37.019,75,31,075-31
천안아산,127.107,36.794,77,31,077-31
오송,127.327,36.62,79,33,079-33
대전,127.432,36.337,82,34,082-34
공주,127.1,36.47,81,31,081-31
익산,126.946,35.94,87,30,087-30
정읍,126.858,35.57,91,29,091-29
전주,127.148,35.846,88,32,088-32
광주송정,126.793,35.138,96,29,096-29
나주,126.718,35.016,98,28,098-28
목포,126.392,34.811,100,25,100-25
순천,127.487,34.95,98,35,098-35
여수EXPO,127.738,34.752,101,37,101-37
김천구미,128.114,36.114,85,40,085-40
동대구,128.626,35.879,88,45,088-45
경산,128.739,35.826,88,46,088-46
밀양,128.761,35.493,92,46,092-46
경주,129.204,35.844,88,50,088-50
포항,129.343,36.019,86,51,086-51
울산,129.351,35.552,91,51,091-51
부산,129.06,35.115,96,49,096-49
진영,128.735,35.305,94,46,094-46
창원중앙,128.681,35.237,95,45,095-45
마산,128.572,35.197,96,44,096-44
진주,128.084,35.181,96,40,096-40
